block_intersection,severity_code,collision_type,person_count,ped_count,pedcyl_count,veh_count,junction_type,sdot_coldesc,in_attention,under_infl,weather,road_cond,light_cond,ped_right_way,speeding,s._col_desc,crosswalkkey,hit_parked_car,latitude,longitude
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.6535988462442,-122.31448850984016
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Raining,Wet,Daylight,1,0,Vehicle - Pedalcyclist,1,0,47.56107185198776,-122.38545807825716
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Overcast,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.6170700943853,-122.32787485310884
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.67874129369951,-122.31740336490559
0,2,Cycles,3,0,1,1,Mid-Block (not related to intersection),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.49956709735468,-122.37781865820313
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,1,Clear or Partly Cloudy,Dry,Dark - Street Lights On,1,1,Vehicle - Pedalcyclist,0,0,47.67292260221713,-122.3335531918494
0,0,Cycles,2,0,1,1,,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Clear or Partly Cloudy,Dry,Dark - Street Lights Off,0,0,Vehicle - Pedalcyclist,0,0,47.615238069418275,-122.3204094313228
0,1,Cycles,0,0,1,1,,NOT ENOUGH INFORMATION / NOT APPLICABLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,1,47.684381650287456,-122.35529799071956
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,1,0,Vehicle - Pedalcyclist,0,0,47.65957519296524,-122.3445793726473
1,1,Angles,1,0,1,1,At Intersection (intersection related),NOT ENOUGH INFORMATION / NOT APPLICABLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Entering at angle,0,0,47.708721227181975,-122.35681438552156
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Overcast,Dry,Daylight,0,0,Vehicle - Pedalcyclist,1,0,47.653399440542536,-122.31333457571534
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,1,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,0,0,Vehicle - Pedalcyclist,0,0,47.627747868684644,-122.32021599641595
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.670921160278084,-122.39287094056515
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.65033189245205,-122.38198969938105
0,0,Cycles,0,0,1,1,Mid-Block (but intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.609780570210454,-122.33935700687486
0,1,Cycles,1,0,1,0,Mid-Block (not related to intersection),PEDALCYCLIST OVERTURNED IN ROAD,0,0,Raining,Wet,Dawn,0,0,Vehicle - Pedalcyclist,0,0,47.65202472754186,-122.32092404908016
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Unknown,Unknown,Unknown,1,0,Vehicle - Pedalcyclist,1,0,47.653399440542536,-122.31333457571534
1,0,Cycles,5,0,1,1,At Intersection (intersection related),NOT ENOUGH INFORMATION / NOT APPLICABLE,0,0,Clear or Partly Cloudy,Wet,Dark - Street Lights On,0,0,Vehicle - Pedalcyclist,0,0,47.609685420831354,-122.33466559753744
1,1,Cycles,3,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.639530077717936,-122.30208058106712
